AñoMes,Juego,Bets_Mes,Jugadores_Mes,Gastado_Mes
2025-08,Tombo Express,7426,232,3667516.0
2025-08,Tómbola,3592,343,7745692.0
2025-08,Quini 6,731,266,1596000.0
2025-08,Loto,417,153,834000.0
2025-07,Tombo Express,6735,147,3000955.0
2025-07,Tómbola,3350,234,6963835.0
2025-07,Quini 6,556,174,1194000.0
2025-07,Loto,303,93,606000.0
2025-06,Tombo Express,5009,43,2071664.0
2025-06,Tómbola,1388,78,2532403.0
2025-06,Quini 6,153,51,302000.0
2025-06,Loto,92,31,184000.0
2025-05,Tombo Express,2776,67,1628677.0
2025-05,Tómbola,2015,80,3196383.0
2025-05,Quini 6,210,46,417500.0
2025-05,Loto,94,30,188000.0
2025-04,Tombo Express,1570,51,1290205.0
2025-04,Tómbola,1529,74,2369097.0
2025-04,Quini 6,118,42,220500.0
2025-04,Loto,52,23,104000.0
2025-03,Tómbola,1487,46,2171919.0
2025-03,Tombo Express,455,27,441284.0
