Fecha_Dia,Bonos_Otorgados,Monto_Bonos,Jugaron_PostBono,Agotaron_Bono,Recargaron_Luego,Registro_Cant,Deposito_Cant
2025-05-08,1,110.0,1,1,1,0,1
2025-05-09,2,1100.0,2,2,2,0,2
2025-05-21,1,100.0,1,1,1,0,1
2025-06-05,7,12110.0,7,7,7,0,7
2025-06-12,5,710.0,5,5,5,0,5
2025-06-18,2,602.0,2,2,2,0,2
2025-08-05,52,318.0,50,50,39,0,52
2025-08-06,14,14.0,13,13,8,0,14
2025-08-21,27,144490.0,22,18,7,11,16
2025-08-22,83,447300.0,72,53,10,36,47
2025-08-23,81,433800.0,64,37,8,36,45
2025-08-24,24,100000.0,15,10,1,11,13
2025-08-25,17,94800.0,12,3,0,11,6
