Fecha_Dia,Recargas_MODO,Monto_MODO,Usuarios_Unicos
2025-08-25,8,56500.0,8
2025-08-24,25,207200.0,22
2025-08-23,64,410090.0,55
2025-08-22,60,465017.0,54
2025-08-21,44,229510.0,36
2025-08-20,60,486680.0,51
2025-08-19,52,471753.0,42
2025-08-18,39,197250.0,34
2025-08-17,22,76900.0,18
2025-08-16,48,301249.0,42
2025-08-15,54,356000.0,41
2025-08-14,46,226160.0,36
2025-08-13,71,314208.0,56
2025-08-12,45,271044.0,36
2025-08-11,49,307032.0,40
2025-08-10,32,133500.0,25
2025-08-09,49,372702.0,42
2025-08-08,70,352063.0,49
2025-08-07,58,339617.0,46
2025-08-06,66,323974.0,52
2025-08-05,70,454865.0,48
2025-08-04,35,233013.0,27
2025-08-03,23,117872.0,19
2025-08-02,50,266590.0,40
2025-08-01,36,252850.0,27
2025-07-31,31,225500.0,24
2025-07-30,49,315800.0,36
2025-07-29,49,226095.0,36
2025-07-28,28,340550.0,20
2025-07-27,20,97500.0,13
2025-07-26,30,287100.0,26
2025-07-25,24,249200.0,17
2025-07-24,33,385204.0,27
2025-07-23,58,336331.0,41
2025-07-22,39,246920.0,28
2025-07-21,35,151202.0,26
2025-07-20,11,95100.0,10
2025-07-19,37,209300.0,31
2025-07-18,24,186600.0,16
2025-07-17,32,167879.0,23
2025-07-16,50,250800.0,36
2025-07-15,39,242351.0,27
2025-07-14,24,96410.0,15
2025-07-13,17,107900.0,14
2025-07-12,43,262740.0,24
2025-07-11,24,139600.0,16
2025-07-10,23,115680.0,18
2025-07-09,13,60750.0,12
2025-07-08,19,64550.0,10
2025-07-07,13,42697.0,11
2025-06-28,2,200.0,2
2025-06-26,1,100.0,1
2025-06-18,8,3105.0,1
2025-06-17,8,802.0,1
2025-06-14,4,400.0,2
2025-06-13,3,300.0,1
2025-06-12,6,600.0,1
2025-06-05,3,310.0,2
2025-05-21,3,300.0,2
