Fecha_Dia,MODO,Retail
2025-03-01,0,180500
2025-03-02,0,22000
2025-03-03,0,13100
2025-03-04,0,83600
2025-03-05,0,56540
2025-03-06,0,37500
2025-03-07,0,24500
2025-03-08,0,43450
2025-03-10,0,58000
2025-03-11,0,15820
2025-03-12,0,23880
2025-03-13,0,117950
2025-03-14,0,47600
2025-03-15,0,84460
2025-03-17,0,123470
2025-03-18,0,31950
2025-03-19,0,99350
2025-03-20,0,67000
2025-03-21,0,32900
2025-03-22,0,20500
2025-03-23,0,26000
2025-03-24,0,12000
2025-03-25,0,23470
2025-03-26,0,66820
2025-03-27,0,33100
2025-03-28,0,96550
2025-03-29,0,18000
2025-03-30,0,4000
2025-03-31,0,33750
2025-04-01,0,35300
2025-04-02,0,22400
2025-04-03,0,93650
2025-04-04,0,121750
2025-04-05,0,32000
2025-04-06,0,5000
2025-04-07,0,34800
2025-04-08,0,95500
2025-04-09,0,43800
2025-04-10,0,32400
2025-04-11,0,95500
2025-04-12,0,145000
2025-04-13,0,102000
2025-04-14,0,61470
2025-04-15,0,306400
2025-04-16,0,202690
2025-04-17,0,65300
2025-04-19,0,102600
2025-04-20,0,11000
2025-04-21,0,107100
2025-04-22,0,59390
2025-04-23,0,63150
2025-04-24,0,78650
2025-04-25,0,182250
2025-04-26,0,66220
2025-04-27,0,8000
2025-04-28,0,116430
2025-04-29,0,89800
2025-04-30,0,162820
2025-05-02,0,96140
2025-05-03,0,195100
2025-05-04,0,9500
2025-05-05,0,136800
2025-05-06,0,47900
2025-05-07,0,108280
2025-05-08,0,114320
2025-05-09,0,165200
2025-05-10,0,63520
2025-05-12,0,89850
2025-05-13,0,50000
2025-05-14,0,178100
2025-05-15,0,42400
2025-05-16,0,40100
2025-05-17,0,199630
2025-05-18,0,21800
2025-05-19,0,124610
2025-05-20,0,71260
2025-05-21,300,59780
2025-05-22,0,122350
2025-05-23,0,26500
2025-05-24,0,119800
2025-05-25,0,15000
2025-05-26,0,73200
2025-05-27,0,76800
2025-05-28,0,133040
2025-05-29,0,128200
2025-05-30,0,217100
2025-05-31,0,186750
2025-06-02,0,127000
2025-06-03,0,125600
2025-06-04,0,150950
2025-06-05,310,173310
2025-06-06,0,119550
2025-06-07,0,116700
2025-06-08,0,11000
2025-06-09,0,161000
2025-06-10,0,91890
2025-06-11,0,148800
2025-06-12,600,134710
2025-06-13,300,129100
2025-06-14,400,114550
2025-06-15,0,4500
2025-06-16,0,114500
2025-06-17,802,56100
2025-06-18,3105,120752
2025-06-19,0,111100
2025-06-20,0,24500
2025-06-21,0,91380
2025-06-22,0,18000
2025-06-23,0,81270
2025-06-24,0,81750
2025-06-25,0,152900
2025-06-26,100,59400
2025-06-27,0,158900
2025-06-28,200,63230
2025-06-29,0,10000
2025-06-30,0,23500
2025-07-01,0,108250
2025-07-02,0,65100
2025-07-03,0,97500
2025-07-04,0,67100
2025-07-05,0,80000
2025-07-06,0,11700
2025-07-07,42697,64450
2025-07-08,64550,107050
2025-07-09,60750,34000
2025-07-10,115680,107990
2025-07-11,139600,73000
2025-07-12,262740,44000
2025-07-13,107900,18000
2025-07-14,96410,66700
2025-07-15,242351,83500
2025-07-16,250800,103770
2025-07-17,167879,36900
2025-07-18,186600,38700
2025-07-19,209300,81550
2025-07-20,95100,21000
2025-07-21,151202,85732
2025-07-22,246920,94100
2025-07-23,336331,83700
2025-07-24,385204,157300
2025-07-25,249200,105500
2025-07-26,287100,118660
2025-07-27,97500,7500
2025-07-28,340550,150300
2025-07-29,226095,88601
2025-07-30,315800,97080
2025-07-31,225500,96200
2025-08-01,252850,159000
2025-08-02,266590,103000
2025-08-03,117872,64300
2025-08-04,233013,69900
