Cohorte_Mes,Total_Nuevos_Usuarios,Retenidos_30_Dias,Tasa_Retencion_30_Dias,Tasa_Retencion_7_Dias
2021-08,9,7,77.77777777777779,
2021-09,42,31,73.80952380952381,
2021-10,13,8,61.53846153846154,
2021-11,7,5,71.42857142857143,
2021-12,13,8,61.53846153846154,
2022-01,11,5,45.45454545454545,
2022-02,8,5,62.5,
2022-03,13,10,76.92307692307693,
2022-04,16,10,62.5,
2022-05,5,2,40.0,
2022-06,16,8,50.0,
2022-07,6,2,33.33333333333333,
2022-08,4,2,50.0,
2022-09,7,6,85.71428571428571,
2022-10,5,1,20.0,
2022-11,6,3,50.0,
2022-12,9,4,44.44444444444444,
2023-01,5,3,60.0,
2023-02,5,4,80.0,
2023-03,4,1,25.0,
2023-04,4,2,50.0,
2023-05,11,5,45.45454545454545,
2023-06,8,4,50.0,
2023-07,6,4,66.66666666666666,
2023-08,9,7,77.77777777777779,
2023-09,6,3,50.0,
2023-10,3,3,100.0,
2023-11,7,2,28.57142857142857,
2023-12,3,2,66.66666666666666,
2024-01,3,2,66.66666666666666,
2024-02,5,3,60.0,
2024-03,5,2,40.0,
2024-04,2,2,100.0,
2024-05,2,1,50.0,
2024-06,2,1,50.0,
2024-07,3,2,66.66666666666666,
2024-08,2,1,50.0,
2024-09,1,1,100.0,
2024-10,3,1,33.33333333333333,
2024-11,1,1,100.0,
2024-12,1,1,100.0,
2025-01,3,2,66.66666666666666,
2025-02,8,5,62.5,
2025-03,10,9,90.0,
2025-04,35,20,57.14285714285714,
2025-05,44,33,75.0,
2025-06,37,20,54.054054054054056,
2025-07,146,94,64.38356164383562,
2025-08,164,60,36.58536585365854,
